method,activity,signal,source_array,channel_idx_in_source_array,hz,window_len,feature_dim,real_train_sampled_windows,synthetic_sampled_windows,real_train_to_nearest_real_train_mse_mean,real_train_to_nearest_real_train_mse_median,real_train_to_nearest_real_train_mse_p01,real_train_to_nearest_real_train_mse_p05,real_train_to_nearest_real_train_mse_p95,syn_to_nearest_train_real_mse_mean,syn_to_nearest_train_real_mse_median,syn_to_nearest_train_real_mse_p01,syn_to_nearest_train_real_mse_p05,syn_to_nearest_train_real_mse_p95,syn_to_nearest_syn_mse_mean,syn_to_nearest_syn_mse_median,syn_to_nearest_syn_mse_p01,syn_to_nearest_syn_mse_p05,syn_to_nearest_syn_mse_p95,copy_ratio_mean,near_duplicate_threshold_real_train_p01_mse,near_duplicate_rate_p01_lower_is_better,synthetic_diversity_ratio_mean
rollout_v1,1,ACC_x,ACC,0,32,256,256,1000,1000,0.030722875148057938,0.0007169768214225769,0.0,3.337860107421875e-06,0.23732593655586243,0.026173347607254982,0.027163218706846237,0.0018525279592722654,0.0032919999212026596,0.04624738171696663,0.0009642720688134432,0.0009038299322128296,0.0006327703595161438,0.0006898738211020827,0.0013835832942277193,0.8519172597330774,0.0,0.0,0.03138612724774221
rollout_v1,2,ACC_x,ACC,0,32,256,256,1000,1000,0.3569965064525604,0.24669885635375977,0.07287096977233887,0.08962643891572952,0.9891641139984131,0.0692855566740036,0.06401365995407104,0.050911352038383484,0.053180206567049026,0.10224989801645279,0.002061565639451146,0.0017773136496543884,0.0012660223292186856,0.001368714147247374,0.0032795078586786985,0.19407908879133703,0.07287096977233887,0.73,0.0057747501787530735
rollout_v1,3,ACC_x,ACC,0,32,256,256,1000,1000,0.628127932548523,0.4533420205116272,0.036575086414813995,0.07908380776643753,1.7746847867965698,0.1180117055773735,0.11621186882257462,0.08990197628736496,0.09574146568775177,0.1433473378419876,0.00303550623357296,0.0023878812789916992,0.0016639998648315668,0.0018270075088366866,0.0052809505723416805,0.18787845510796017,0.036575086414813995,0.0,0.004832624177780005
rollout_v1,4,ACC_x,ACC,0,32,256,256,1000,1000,1.5173625946044922,1.0386046171188354,0.13381950557231903,0.1795330047607422,4.0680251121521,0.08509574830532074,0.07882347702980042,0.06136123463511467,0.0648825466632843,0.12937073409557343,0.003537054406479001,0.0022134929895401,0.0013503155205398798,0.0014640807639807463,0.009628896601498127,0.056081353664515075,0.13381950557231903,0.956,0.0023310541719271465
rollout_v1,5,ACC_x,ACC,0,32,256,256,1000,1000,0.4284254014492035,0.2473660707473755,0.024044036865234375,0.03643304109573364,1.3954147100448608,0.03909910097718239,0.03660840541124344,0.014691215008497238,0.017476357519626617,0.06514635682106018,0.0025353236123919487,0.002187781035900116,0.0015429813647642732,0.0016773149836808443,0.004026487469673157,0.09126233142321791,0.024044036865234375,0.182,0.005917771457565059
rollout_v1,6,ACC_x,ACC,0,32,256,256,1000,1000,0.14888215065002441,0.08429718017578125,0.0005147999618202448,0.0015917017590254545,0.512634813785553,0.02466181106865406,0.021363429725170135,0.0033587682992219925,0.005526925437152386,0.05469456687569618,0.0019682617858052254,0.0017726719379425049,0.0011557195102795959,0.0013211630284786224,0.002914387732744217,0.16564652620196427,0.0005147999618202448,0.0,0.013220267017985225
rollout_v1,7,ACC_x,ACC,0,32,256,256,1000,1000,0.5071110725402832,0.3200460970401764,0.04691037908196449,0.06508266925811768,1.5067212581634521,0.14042098820209503,0.13409452140331268,0.11101377755403519,0.11535065621137619,0.19095146656036377,0.002652280731126666,0.0022562965750694275,0.0015250674914568663,0.0017326235538348556,0.004942493047565222,0.2769038102415728,0.04691037908196449,0.0,0.005230177124393153
rollout_v1,8,ACC_x,ACC,0,32,256,256,1000,1000,0.10072773694992065,0.013570071198046207,4.76837158203125e-07,0.00011968612670898438,0.5013279914855957,0.017162257805466652,0.01615823805332184,0.0024868352338671684,0.0036121129523962736,0.034370940178632736,0.001755070872604847,0.0016155019402503967,0.0011288508540019393,0.0012378394603729248,0.002502553164958954,0.1703826406226053,4.76837158203125e-07,0.0,0.017423908505731892
rollout_v1,1,ACC_y,ACC,1,32,256,256,1000,1000,0.008655737154185772,0.00016236305236816406,0.0,2.7939677238464355e-09,0.05017126351594925,0.008577938191592693,0.002174362540245056,0.0005133728845976293,0.0007732283556833863,0.05168795958161354,0.0004488031263463199,0.00041620247066020966,0.00028066581580787897,0.0003142522764392197,0.0006325747817754745,0.9910118617042968,0.0,0.0,0.05185036448678275
rollout_v1,2,ACC_y,ACC,1,32,256,256,1000,1000,0.2838091552257538,0.23434023559093475,0.06988143920898438,0.09687554836273193,0.6861888766288757,0.11643872410058975,0.10681706666946411,0.0855378583073616,0.08949341624975204,0.1897333413362503,0.0011195067781955004,0.0010288804769515991,0.0006805494194850326,0.0007595717906951904,0.0017601385479792953,0.41027120498621505,0.06988143920898438,0.0,0.003944575985594959
