method,reference_real_split,activity,signal,source_array,channel_idx_in_source_array,hz,window_len,real_num_windows,syn_num_windows,real_mean,syn_mean,abs_mean_diff_lower_is_better,real_std,syn_std,abs_std_diff_lower_is_better,histogram_overlap_0_to_1_higher_is_better,fft_logmag_mae_lower_is_better
rollout_v1,real_train,1,ACC_x,ACC,0,32,256,3032,2946,-0.538517951965332,0.14021173119544983,0.6787296831607819,0.7838308811187744,0.16470398008823395,0.6191269010305405,0.19297381205196168,0.3231113851070404
rollout_v1,real_train,2,ACC_x,ACC,0,32,256,2139,2101,0.5737907290458679,0.32496026158332825,0.24883046746253967,0.6684818863868713,0.11206723004579544,0.5564146563410759,0.2505480262993935,0.8772892355918884
rollout_v1,real_train,3,ACC_x,ACC,0,32,256,1500,1488,-0.24872900545597076,0.33165791630744934,0.5803869217634201,0.9460987448692322,0.14730484783649445,0.7987938970327377,0.14643218665994626,1.2231231927871704
rollout_v1,real_train,4,ACC_x,ACC,0,32,256,2296,2280,0.6420828104019165,0.5092973113059998,0.13278549909591675,1.2596691846847534,0.13886775076389313,1.1208014339208603,0.17063412867152639,1.6400269269943237
rollout_v1,real_train,5,ACC_x,ACC,0,32,256,4580,4519,0.15482307970523834,0.27277201414108276,0.11794893443584442,1.1398390531539917,0.17165392637252808,0.9681851267814636,0.1716693821969902,0.8470577001571655
rollout_v1,real_train,6,ACC_x,ACC,0,32,256,8792,8562,-0.23571404814720154,0.2725590467453003,0.5082730948925018,0.8472806215286255,0.1717817187309265,0.675498902797699,0.19840617152079204,0.3990580141544342
rollout_v1,real_train,7,ACC_x,ACC,0,32,256,2903,2803,0.40968385338783264,0.2895897626876831,0.12009409070014954,0.9008665084838867,0.14851945638656616,0.7523470520973206,0.22484108952270393,0.8802377581596375
rollout_v1,real_train,8,ACC_x,ACC,0,32,256,5520,5301,0.45182591676712036,0.28196656703948975,0.16985934972763062,0.8380917906761169,0.14522796869277954,0.6928638219833374,0.20514704897635186,0.15381678938865662
rollout_v1,real_train,1,ACC_y,ACC,1,32,256,3032,2946,-0.15452763438224792,0.1607549637556076,0.31528259813785553,0.6017224788665771,0.11137986183166504,0.4903426170349121,0.23427656479784761,0.2308007925748825
rollout_v1,real_train,2,ACC_y,ACC,1,32,256,2139,2101,1.1363849639892578,0.4492343068122864,0.6871506571769714,1.1832153797149658,0.17478930950164795,1.0084260702133179,0.06361258926129702,0.4604906737804413
rollout_v1,real_train,3,ACC_y,ACC,1,32,256,1500,1488,0.8449438214302063,0.3958146572113037,0.4491291642189026,0.7860686779022217,0.1395994871854782,0.6464691907167435,0.08586095010080647,0.6611350178718567
