epoch,train_total_loss,train_recon_loss,train_kl_loss,train_activity_loss,train_activity_accuracy,train_beta_kl_used,val_total_loss,val_recon_loss,val_kl_loss,val_activity_loss,val_activity_accuracy,val_beta_kl_used
1,1.6372715935239897,0.44385671913410674,1557.0821119992618,0.785827980353226,0.7124374228059823,3.3333333249174757e-06,1.2647298547088124,0.349756972833735,2959.8494963098747,0.3071429453912328,0.9145901645597865,3.3333333249174757e-06
2,1.107836639661797,0.31021429066361644,1274.2014909593843,0.13591943272005522,0.9569273779338144,6.666666649834951e-06,1.1624474225865036,0.3256235685309426,1911.046904336898,0.10024614284273053,0.9737704918032787,6.666666649834951e-06
3,1.0365582259669663,0.29177908810866404,977.0676748455443,0.05560739583577836,0.983486119238021,9.999999747378752e-06,1.0188527487535946,0.28281343133723147,1403.201846923828,0.14973721641008972,0.946721311827175,9.999999747378752e-06
4,1.0105433312606986,0.2844990694598812,797.0985879240216,0.041686086474930724,0.9879721735033906,1.3333333299669903e-05,0.9823727026435195,0.2751784803290836,1084.3171857790087,0.04790458672847904,0.9860655737704918,1.3333333299669903e-05
5,0.9948606578358654,0.2802848557402537,661.3452949660333,0.028412418413705537,0.991482998547276,1.6666666851961054e-05,0.9753844117727436,0.2738549602422558,840.792096947842,0.02878853874158908,0.9919672131147541,1.6666666851961054e-05
6,0.9807923355056657,0.2762748409380149,582.7164386997033,0.02176063626061978,0.9934009492656948,1.9999999494757503e-05,0.9976092018846605,0.27888039461413366,785.9998507140112,0.05807817709250528,0.9845901639344262,1.9999999494757503e-05
7,0.9690805149709254,0.2730461790858362,500.98533266187917,0.017292309199514286,0.9951238541057148,2.3333333956543356e-05,0.9718513539775473,0.27261100227226975,667.265715892354,0.021433190419949347,0.9926229508196721,2.3333333956543356e-05
8,0.9638359619980399,0.2714465010583529,457.14621022472875,0.015826483102666475,0.9953188999414863,2.6666666599339806e-05,1.0176008971108765,0.2837888034347628,634.9241519915471,0.07408773397813077,0.979672131147541,2.6666666599339806e-05
9,0.9519755974151356,0.267598950617196,438.29170666630097,0.022305196123889762,0.9929133346762662,2.9999999242136255e-05,1.0037095289738451,0.2796365347504616,649.8012161404969,0.05487613408902629,0.9842622950819672,2.9999999242136255e-05
10,0.855715823974917,0.23828613787926295,497.67870570342086,0.05125049093646041,0.9856316234741337,3.333333370392211e-05,0.7592478658625337,0.20975077299309558,671.7768607117699,0.027275994818840847,0.9936065573770492,3.333333370392211e-05
11,0.7123939647420967,0.1969706606490196,512.1533140585889,0.04217695596580783,0.9881997269358299,3.666666816570796e-05,0.630625147506839,0.17101434503178128,661.7424644595287,0.07811040657648786,0.9804918032786886,3.666666816570796e-05
12,0.6477691963965077,0.178651133687705,485.1476888798604,0.030843194252717216,0.9910278915545153,3.9999998989515007e-05,0.578159427593966,0.15673271550751122,626.6627016761655,0.04528408505869877,0.9872131147540983,3.9999998989515007e-05
13,0.6089461128157235,0.16748764485703993,454.708462369852,0.030353197346440056,0.9913529679474676,4.333333345130086e-05,0.5099530319991659,0.1383157637593199,548.8435904881212,0.020646326365254698,0.9932786885245901,4.333333345130086e-05
14,0.5779619268846794,0.15875973552029476,433.2281175373698,0.020855375337064462,0.9937910408946102,4.666666791308671e-05,0.4743034689690246,0.1271509775885793,566.0451843461834,0.028596031665897425,0.9908196721311475,4.666666791308671e-05
15,0.5594789585659682,0.15338441659210486,414.1508323908023,0.019259609627152875,0.9938885638124959,4.999999873689376e-05,0.48392226511337716,0.1298122438617417,534.6939656442111,0.028447070335663977,0.9918032786885246,4.999999873689376e-05
16,0.5427872662263376,0.14856312641779862,391.88668245668106,0.01915701396129243,0.9939860867342568,5.333333319867961e-05,0.4663047199806229,0.12551335832501043,470.3662565637807,0.019217606373436627,0.9942622950819672,5.333333319867961e-05
17,0.5298149056641103,0.1448232473593742,374.64877127671025,0.017034419072217553,0.9947987777127625,5.6666667660465464e-05,0.49883856792918974,0.1329904991046327,484.4110757196145,0.05921858545056865,0.9847540983606557,5.6666667660465464e-05
18,0.5242416692038955,0.14323116906554498,358.6145071614107,0.014157025896324737,0.9955464534165529,5.999999848427251e-05,0.5570340271367401,0.15119916596862137,442.01407348632813,0.013161054927680153,0.9949180327868853,5.999999848427251e-05
19,0.5163189011574659,0.14087153275982084,346.3203408787088,0.013349168583402925,0.995936545130723,6.333333294605836e-05,0.47726582761182157,0.1285272759834274,412.08002841636784,0.013219566013755613,0.9967213114754099,6.333333294605836e-05
20,0.5080445170728045,0.1384493499630008,333.98428345520205,0.012061742853183646,0.9964566673168195,6.666666740784422e-05,0.42845762810257615,0.11391659019667594,426.41331331847147,0.013220106871210833,0.9960655737704918,6.666666740784422e-05
21,0.5041794778427837,0.1371646275956131,324.6698421515226,0.013763941502248592,0.9961640985631623,7.000000186963007e-05,0.45129218982379943,0.11982257789886389,404.65183867907916,0.03587538999123652,0.9904918032786886,7.000000186963007e-05
22,0.500645559856822,0.13598115055712665,318.11229218364605,0.013832959077259474,0.9961640985631623,7.333333633141592e-05,0.4731265388453593,0.1262132147394243,390.3167745721536,0.027570555933262603,0.9927868852459016,7.333333633141592e-05
