method,method_display_name,signal,real_sampled_windows,synthetic_sampled_windows,abs_mean_diff_lower_is_better,abs_std_diff_lower_is_better,histogram_overlap_0_to_1_higher_is_better,fft_logmag_mae_lower_is_better
rollout_v1,KoVAE-Rollout,ACC_x,8000,8000,0.31080729657006123,0.7030235807331594,0.3059091796875,0.7338103856580077
rollout_v1,KoVAE-Rollout,ACC_y,8000,8000,0.5819628751891368,0.6125052090090434,0.16114990234375,0.4968627605978146
rollout_v1,KoVAE-Rollout,ACC_z,8000,8000,0.4331056468103752,0.6630942115175644,0.25403955078124996,0.6431137903516646
rollout_v1,KoVAE-Rollout,BVP,8000,8000,0.07805402264860237,0.8320784439495392,0.51944970703125,0.25091981732763957
rollout_v1,KoVAE-Rollout,EDA,8000,8000,0.2847091896391441,0.5967076826426468,0.22514453125,0.32597134854548654
rollout_v1,KoVAE-Rollout,TEMP,8000,8000,0.4220330842320818,0.5205804753291743,0.18551171875,0.40029548422514794
posterior_bank_v2,KoVAE-Posterior,ACC_x,8000,8000,0.030992447504300802,0.1624741890072411,0.8740224609375,0.26764627271591906
posterior_bank_v2,KoVAE-Posterior,ACC_y,8000,8000,0.02507819203161216,0.12491315933231081,0.8469028320312499,0.29676636284817953
posterior_bank_v2,KoVAE-Posterior,ACC_z,8000,8000,0.03200488052826949,0.13938169456067412,0.87172119140625,0.31134893021143706
posterior_bank_v2,KoVAE-Posterior,BVP,8000,8000,0.015941979369287478,0.18370847873367732,0.941408447265625,0.08979719744588835
posterior_bank_v2,KoVAE-Posterior,EDA,8000,8000,0.04071583620230761,0.13668055496589404,0.7404999999999999,0.021508851704881926
posterior_bank_v2,KoVAE-Posterior,TEMP,8000,8000,0.0337584836541737,0.1079040374898502,0.709546875,0.02883838913213868
