method,signal,real_train_sampled_windows,synthetic_sampled_windows,real_train_to_nearest_real_train_mse_mean,syn_to_nearest_train_real_mse_mean,syn_to_nearest_syn_mse_mean,copy_ratio_mean,near_duplicate_rate_p01_lower_is_better,synthetic_diversity_ratio_mean
rollout_v1,ACC_x,8000,8000,0.46479453379288316,0.06498881452716887,0.0023136669187806547,0.24926893322328125,0.23349999999999999,0.01076458498523472
rollout_v1,ACC_y,8000,8000,0.15915968886110932,0.0638830530224368,0.0009834678130573593,0.5440103432128114,0.0045,0.017975844424007383
rollout_v1,ACC_z,8000,8000,0.28897977946326137,0.06767609331291169,0.001282632234506309,0.2623391411370208,0.034625,0.007675816118000434
rollout_v1,BVP,8000,8000,0.9045993592590094,0.030557501246221364,0.003131814723019488,0.035790186336876334,0.62275,0.004072506703121287
rollout_v1,EDA,8000,8000,0.0012317720943428867,0.003138996326015331,7.538024647146813e-05,21.929145165751216,0.0,0.23026765245630626
rollout_v1,TEMP,8000,8000,9.493955349171301e-05,0.0029775899602100253,4.149243750362075e-05,33.52380692472008,0.0,0.46701618299141723
posterior_bank_v2,ACC_x,8000,8000,0.46479453379288316,0.1832200128119439,0.16860478394664824,0.4630271296786148,0.084875,0.43918909845343534
posterior_bank_v2,ACC_y,8000,8000,0.15915968886110932,0.08177793573122472,0.057517921610269696,0.5914187319784018,0.06875,0.45551744139925926
posterior_bank_v2,ACC_z,8000,8000,0.28897977946326137,0.12027641083113849,0.10867497115395963,0.4706411542951078,0.064625,0.4388690142736163
posterior_bank_v2,BVP,8000,8000,0.9045993592590094,0.3898627329617739,0.3775718938559294,0.4467812632950299,0.094375,0.4338161936479438
posterior_bank_v2,EDA,8000,8000,0.0012317720943428867,0.0010606363794067875,0.0006485154949587013,6.091345769345136,0.0,0.7037190569986673
posterior_bank_v2,TEMP,8000,8000,9.493955349171301e-05,0.00029197785806900356,0.00011517457642185036,3.291955971049927,0.0,1.2789802006790838
