method,method_display_name,activity,signal,source_array,channel_idx_in_source_array,hz,window_len,reference_split,real_sampled_windows,synthetic_sampled_windows,real_mean,synthetic_mean,abs_mean_diff_lower_is_better,real_std,synthetic_std,abs_std_diff_lower_is_better,histogram_overlap_0_to_1_higher_is_better,fft_logmag_mae_lower_is_better
prior_v1,TimeVAE-Prior,1,ACC_x,ACC,0,32,256,real_train,1000,1000,-0.5227387532284047,-0.3224412043195971,0.20029754890880758,0.7836686941694132,0.7494643560879877,0.034204338081425534,0.6380234375,0.41720656801417805
prior_v1,TimeVAE-Prior,1,ACC_y,ACC,1,32,256,real_train,1000,1000,-0.1706679585682359,-0.14851373380575114,0.02215422476248477,0.6049259148084507,0.7032594413492791,0.09833352654082839,0.47868750000000004,0.496820439281922
prior_v1,TimeVAE-Prior,1,ACC_z,ACC,2,32,256,real_train,1000,1000,-0.10074613496319944,-0.18989646490742507,0.08915032994422563,0.9285534448710427,0.8435397801348365,0.0850136647362062,0.7354375,0.4484502858157607
prior_v1,TimeVAE-Prior,1,BVP,BVP,0,64,512,real_train,1000,1000,0.0007357849791827533,0.038953288177471596,0.038217503198288844,0.5563931657209129,1.5709774424553304,1.0145842767344175,0.5190097656250001,0.6091697574856946
prior_v1,TimeVAE-Prior,1,EDA,SLOW,0,4,32,real_train,1000,1000,-0.6125168065050602,-0.1933590375718601,0.4191577689332001,0.4346821836171712,0.47939931778287015,0.044717134165698946,0.31665625,0.3660085398527183
prior_v1,TimeVAE-Prior,1,TEMP,SLOW,1,4,32,real_train,1000,1000,-0.4945263327960856,-0.15745738488570532,0.3370689479103803,0.4852228494874468,0.4887570008495089,0.003534151362062088,0.582875,0.32765860266033586
prior_v1,TimeVAE-Prior,2,ACC_x,ACC,0,32,256,real_train,1000,1000,0.5799805213964137,0.5490865053915799,0.03089401600483377,0.6555217848758739,0.885251009172073,0.22972922429619913,0.7332890625,0.7658924749303312
prior_v1,TimeVAE-Prior,2,ACC_y,ACC,1,32,256,real_train,1000,1000,1.136424452079482,0.6174647991155796,0.5189596529639023,1.1873654185699518,0.9644835674125852,0.22288185115736658,0.65825,0.5992703037455156
prior_v1,TimeVAE-Prior,2,ACC_z,ACC,2,32,256,real_train,1000,1000,-0.4576067731983057,-0.3713289354890592,0.08627783770924652,0.6270857198924703,0.8419201318644098,0.21483441197193953,0.7549375,0.6073733501078822
prior_v1,TimeVAE-Prior,2,BVP,BVP,0,64,512,real_train,1000,1000,-6.88610069327531e-05,0.048052227124794726,0.04812108813172748,0.9938131883824645,1.505560253491236,0.5117470651087715,0.6750332031249999,0.36538163084392916
