epoch,train_loss,train_accuracy,val_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_balanced_accuracy,best_val_macro_f1_so_far
1,1.9157266345205186,0.21482726793248946,0.30983606557377047,0.30310156373079056,0.2871071401030233,0.22323742757803586,0.2871071401030233,0.22323742757803586
2,1.848223705080491,0.23692972046413502,0.23147540983606557,0.2732828833286924,0.2828514355512513,0.22557565729320958,0.2828514355512513,0.22557565729320958
3,1.8034930651700949,0.2491099683544304,0.3055737704918033,0.4847767322105826,0.35219802254549587,0.2983646343656349,0.35219802254549587,0.2983646343656349
4,1.7777286262451848,0.2544501582278481,0.340655737704918,0.24416333203221946,0.3198898593442098,0.24302290230874657,0.3198898593442098,0.2983646343656349
5,1.7653968696352802,0.255439082278481,0.3195081967213115,0.34064274517679133,0.3382277065956629,0.28815532216165074,0.3382277065956629,0.2983646343656349
6,1.7491398167006578,0.26010350738396626,0.33049180327868855,0.4235935554504572,0.328187324999183,0.26373860077019823,0.328187324999183,0.2983646343656349
7,1.7344640810278398,0.26720727848101267,0.33885245901639344,0.2619028834935691,0.3219112843928,0.23814094045655826,0.3219112843928,0.2983646343656349
8,1.7238031308862227,0.26794897151898733,0.3545901639344262,0.29906371729053394,0.34043362222237705,0.306791275016267,0.34043362222237705,0.306791275016267
9,1.7158867437628251,0.2698938554852321,0.2860655737704918,0.2758516163279521,0.3123810433107038,0.24286026718753545,0.3123810433107038,0.306791275016267
10,1.7094764792466466,0.2704212816455696,0.349016393442623,0.23803111445635247,0.33850433379330164,0.2620255090402038,0.33850433379330164,0.306791275016267
11,1.700093765047532,0.27498681434599154,0.3160655737704918,0.3248262808726441,0.3373186725191214,0.30926846459344504,0.3373186725191214,0.30926846459344504
12,1.695887955683696,0.2774756065400844,0.349672131147541,0.27114970564727003,0.3427968642726489,0.28957152663771507,0.3427968642726489,0.30926846459344504
13,1.6859267821794823,0.27970068565400846,0.30508196721311476,0.2725977644794657,0.3165637420068292,0.2499301781220853,0.3165637420068292,0.30926846459344504
14,1.6819883826412731,0.28251911919831224,0.3829508196721311,0.3158421147544722,0.35095768197308574,0.29191028892352144,0.35095768197308574,0.30926846459344504
15,1.6707132254974753,0.29010087025316456,0.3798360655737705,0.3313551209267327,0.3668270235488743,0.3154393257035927,0.3668270235488743,0.3154393257035927
16,1.6666205578212496,0.29206223628691985,0.3913114754098361,0.35080335857306,0.3651792933240634,0.327554138696399,0.3651792933240634,0.327554138696399
17,1.654429373107379,0.29708926687763715,0.40901639344262297,0.3983221916773454,0.38825027724130134,0.349003464241859,0.38825027724130134,0.349003464241859
18,1.6420116469829897,0.30330300632911394,0.3457377049180328,0.3560147571098635,0.36441373872646343,0.3238515041740477,0.36441373872646343,0.349003464241859
19,1.6264100904706158,0.30898931962025317,0.36098360655737705,0.27580648343987746,0.3474222738873356,0.27319528073435173,0.3474222738873356,0.349003464241859
20,1.619616060317317,0.3107364187763713,0.3516393442622951,0.2789044303020077,0.33454874599189355,0.2736695832191902,0.33454874599189355,0.349003464241859
21,1.6037944291211381,0.31564807489451474,0.3670491803278689,0.28123219660069754,0.3400798848261475,0.26987085070361616,0.3400798848261475,0.349003464241859
22,1.5968416883975645,0.319471914556962,0.41147540983606556,0.3792341989581652,0.3948912819829882,0.33590721414904806,0.3948912819829882,0.349003464241859
23,1.5924542327470417,0.322685917721519,0.3854098360655738,0.3435157469708786,0.3892354059214379,0.319567348708263,0.3892354059214379,0.349003464241859
24,1.5880457027049004,0.3259988132911392,0.3924590163934426,0.2891552348086876,0.36768113432118554,0.2759339973345596,0.36768113432118554,0.349003464241859
25,1.5759020726892012,0.3266251318565401,0.38049180327868853,0.34302350481006305,0.3646368070389001,0.3069468635898897,0.3646368070389001,0.349003464241859
26,1.5672486779056019,0.33201476793248946,0.390327868852459,0.31918187350570826,0.3657745159723548,0.2794728239703841,0.3657745159723548,0.349003464241859
27,1.5601157244247725,0.3335146360759494,0.37311475409836065,0.30037557008101157,0.355129664855484,0.2778502275068351,0.355129664855484,0.349003464241859
28,1.557463531252704,0.3317840189873418,0.3881967213114754,0.35247421583214683,0.39938579723793116,0.33462536736654397,0.39938579723793116,0.349003464241859
29,1.553666655775867,0.33486616561181437,0.3873770491803279,0.33075710000520997,0.3637194952933691,0.28323111192785144,0.3637194952933691,0.349003464241859
30,1.5474969661688502,0.338310917721519,0.3660655737704918,0.30313270178376933,0.3510684441304957,0.2849641833411933,0.3510684441304957,0.349003464241859
31,1.5444194463234913,0.3376681170886076,0.42885245901639346,0.4097424963089018,0.4246026163293073,0.3901690734933372,0.4246026163293073,0.3901690734933372
32,1.5423091559470454,0.33887130801687765,0.38704918032786884,0.32745094254965434,0.3723906352374775,0.3132857710977941,0.3723906352374775,0.3901690734933372
