framework,experiment,native_modality,row_count,error_count,status
cnnbilstm,real_to_real,acc,1,0,ok
cnnbilstm,real_to_real,bvp,1,0,ok
cnnbilstm,real_to_real,eda,1,0,ok
cnnbilstm,real_to_real,temp,1,0,ok
cnnbilstm,real_to_real,fused,1,0,ok
cnnbilstm,real_to_synthetic,acc,1,0,ok
cnnbilstm,real_to_synthetic,bvp,1,0,ok
cnnbilstm,real_to_synthetic,eda,1,0,ok
cnnbilstm,real_to_synthetic,temp,1,0,ok
cnnbilstm,real_to_synthetic,fused,1,0,ok
cnnbilstm,synthetic_to_real,acc,1,0,ok
cnnbilstm,synthetic_to_real,bvp,1,0,ok
cnnbilstm,synthetic_to_real,eda,1,0,ok
cnnbilstm,synthetic_to_real,temp,1,0,ok
cnnbilstm,synthetic_to_real,fused,1,0,ok
cnnbilstm,real_plus_synthetic_to_real,acc,1,0,ok
cnnbilstm,real_plus_synthetic_to_real,bvp,1,0,ok
cnnbilstm,real_plus_synthetic_to_real,eda,1,0,ok
cnnbilstm,real_plus_synthetic_to_real,temp,1,0,ok
cnnbilstm,real_plus_synthetic_to_real,fused,1,0,ok
